2025-08-04 14:16:26,112 INFO    MainThread:9673 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_setup.py:_flush():80] Configure stats pid to 9673
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_setup.py:_flush():80] Loading settings from /Users/aileenpeeka/.config/wandb/settings
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_setup.py:_flush():80] Loading settings from /Users/aileenpeeka/coding/Projects/ayna_ml_assignment/wandb/settings
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/aileenpeeka/coding/Projects/ayna_ml_assignment/wandb/run-20250804_141626-940j81fe/logs/debug.log
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/aileenpeeka/coding/Projects/ayna_ml_assignment/wandb/run-20250804_141626-940j81fe/logs/debug-internal.log
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_init.py:init():830] calling init triggers
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'batch_size': 8, 'epochs': 20, 'architecture': 'UNet', 'dataset': 'polygon-segmentation', '_wandb': {}}
2025-08-04 14:16:26,113 INFO    MainThread:9673 [wandb_init.py:init():871] starting backend
2025-08-04 14:16:26,956 INFO    MainThread:9673 [wandb_init.py:init():874] sending inform_init request
2025-08-04 14:16:26,985 INFO    MainThread:9673 [wandb_init.py:init():882] backend started and connected
2025-08-04 14:16:26,989 INFO    MainThread:9673 [wandb_init.py:init():953] updated telemetry
2025-08-04 14:16:26,989 INFO    MainThread:9673 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-04 14:16:28,537 INFO    MainThread:9673 [wandb_init.py:init():1029] starting run threads in backend
2025-08-04 14:16:28,615 INFO    MainThread:9673 [wandb_run.py:_console_start():2458] atexit reg
2025-08-04 14:16:28,615 INFO    MainThread:9673 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-08-04 14:16:28,615 INFO    MainThread:9673 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-08-04 14:16:28,616 INFO    MainThread:9673 [wandb_run.py:_redirect():2398] Redirects installed.
2025-08-04 14:16:28,617 INFO    MainThread:9673 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-04 14:16:28,960 INFO    MsgRouterThr:9673 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
